block,street_name_original,address_original,street_name,full_address,processed_address
309,ANG MO KIO AVE 1,309 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,309 ANG MO KIO AVE 1   Singapore,309 ANG MO KIO AVE 1  
216,ANG MO KIO AVE 1,216 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,216 ANG MO KIO AVE 1   Singapore,216 ANG MO KIO AVE 1  
211,ANG MO KIO AVE 3,211 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,211 ANG MO KIO AVE 3   Singapore,211 ANG MO KIO AVE 3  
202,ANG MO KIO AVE 3,202 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,202 ANG MO KIO AVE 3   Singapore,202 ANG MO KIO AVE 3  
235,ANG MO KIO AVE 3,235 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,235 ANG MO KIO AVE 3   Singapore,235 ANG MO KIO AVE 3  
232,ANG MO KIO AVE 3,232 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,232 ANG MO KIO AVE 3   Singapore,232 ANG MO KIO AVE 3  
308,ANG MO KIO AVE 1,308 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,308 ANG MO KIO AVE 1   Singapore,308 ANG MO KIO AVE 1  
220,ANG MO KIO AVE 1,220 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,220 ANG MO KIO AVE 1   Singapore,220 ANG MO KIO AVE 1  
219,ANG MO KIO AVE 1,219 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,219 ANG MO KIO AVE 1   Singapore,219 ANG MO KIO AVE 1  
247,ANG MO KIO AVE 3,247 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,247 ANG MO KIO AVE 3   Singapore,247 ANG MO KIO AVE 3  
320,ANG MO KIO AVE 1,320 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,320 ANG MO KIO AVE 1   Singapore,320 ANG MO KIO AVE 1  
252,ANG MO KIO AVE 4,252 ANG MO KIO AVE 4,ANG MO KIO AVE 4    ,252 ANG MO KIO AVE 4   Singapore,252 ANG MO KIO AVE 4  
