,mrt_station,longitude,latitude
0,Jurong East mrt station,103.7417351,1.33400861
1,Bukit Batok mrt station,103.7497692,1.349512469
2,Bukit Gombak mrt station,103.752085,1.35869439
3,Choa Chu Kang mrt station,103.7445093,1.385756501
4,Yew Tee mrt station,103.7474051,1.397535018
5,Kranji mrt station,103.7620183,1.424739805
6,Marsiling mrt station,103.7742067,1.432807925
7,Woodlands mrt station,103.7858442,1.436596431
8,Admiralty mrt station,103.8005515,1.440605373
9,Sembawang mrt station,103.8197832,1.448773398
10,Canberra mrt station,103.8297118,1.443136743
11,Yishun mrt station,103.8347906,1.42940145
12,Khatib mrt station,103.8326918,1.417130546
13,Yio Chu Kang mrt station,103.8446515,1.381960215
14,Ang Mo Kio mrt station,103.8494552,1.369428557
15,Bishan mrt station,103.8500572,1.351018898
16,Braddell mrt station,103.8467559,1.340105207
17,Toa Payoh mrt station,103.8477238,1.332376442
18,Novena mrt station,103.8444058,1.321103004
19,Newton mrt station,103.8380316,1.312570317
20,Orchard mrt station,103.8321716,1.303167535
21,Somerset mrt station,103.8391583,1.300252877
22,Dhoby Ghaut mrt station,103.8452256,1.29906443
23,City Hall mrt station,103.8525426,1.292989907
24,Raffles Place mrt station,103.8514631,1.283933262
25,Marina Bay mrt station,103.854605,1.276311144
26,Marina South Pier mrt station,103.8622806,1.270675235
27,Pasir Ris mrt station,103.9493334,1.372841969
28,Tampines mrt station,103.944904,1.353398313
29,Simei mrt station,103.9538201,1.342655786
30,Tanah Merah mrt station,103.9457231,1.327064862
31,Bedok mrt station,103.9296731,1.324268343
32,Kembangan mrt station,103.91294,1.320929673
33,Eunos mrt station,103.9028941,1.319517275
34,Paya Lebar mrt station,103.8922082,1.318370313
35,Aljunied mrt station,103.8824967,1.316238485
36,Kallang mrt station,103.8715871,1.31178177
37,Lavender mrt station,103.8627846,1.307391879
38,Bugis mrt station,103.8556367,1.300366506
39,Tanjong Pagar mrt station,103.8464451,1.275450905
40,Outram Park mrt station,103.8400521,1.280241533
41,Tiong Bahru mrt station,103.8269989,1.286194579
42,Redhill mrt station,103.8172494,1.289485876
43,Queenstown mrt station,103.8054769,1.295380905
44,Commonwealth mrt station,103.7987143,1.302021258
45,Buona Vista mrt station,103.7903632,1.306275348
