,shopping Mall,address,longitude,latitude
0,100 AM,100 AM Singapore,103.843549,1.274929
1,313@Somerset,313@Somerset Singapore,103.8383582,1.3008856
2,Aperia,Aperia Singapore,103.8641309,1.3103487
3,Balestier Hill Shopping Centre,Balestier Hill Shopping Centre Singapore,103.8426297,1.3256664
4,Bugis Cube,Bugis Cube Singapore,103.8555636,1.2981505
5,Bugis Junction,Bugis Junction Singapore,103.8555479,1.2988597
6,Bugis+,Bugis+ Singapore,103.8541392,1.2997181
7,Capitol Piazza,Capitol Piazza Singapore,103.8513602,1.2930831
8,Cathay Cineleisure Orchard,Cathay Cineleisure Orchard Singapore,103.8362912,1.3015932
9,Clarke Quay Central,Clarke Quay Central Singapore,103.8467906,1.2889622
10,The Centrepoint,The Centrepoint Singapore,103.8397579,1.3021552
11,City Square Mall,City Square Mall Singapore,103.8566675,1.3111877
12,City Gate Mall,City Gate Mall Singapore,103.8623877,1.3022954
13,CityLink Mall,CityLink Mall Singapore,103.8557643,1.2919898
14,Duo,Duo Singapore,103.8583875,1.2994615
15,Far East Plaza,Far East Plaza Singapore,103.8337085,1.3071512
16,Great World City,Great World City Singapore,103.832007,1.2936057
17,HDB Hub,HDB Hub Singapore,103.8480517,1.3323801
18,Holland Village Shopping Mall,Holland Village Shopping Mall Singapore,103.7961823,1.3105584
19,ION Orchard,ION Orchard Singapore,103.8319701,1.3039937
20,Junction 8,Junction 8 Singapore,103.8485932,1.3505028
21,Knightsbridge[1],Knightsbridge[1] Singapore,103.8362243,1.3034554
22,Liang Court,Liang Court Singapore,103.8447075,1.2915874
23,Liat Towers,Liat Towers Singapore,103.8305905,1.3051925
24,Lucky Plaza,Lucky Plaza Singapore,103.8339449,1.3045456
25,Marina Bay Sands,Marina Bay Sands Singapore,103.8607264,1.2833754
26,The Shoppes at Marina Bay Sands,The Shoppes at Marina Bay Sands Singapore,103.8595527,1.2841228
27,Marina Bay Financial Centre Tower 3,Marina Bay Financial Centre Tower 3 Singapore,103.8544967,1.2790221
28,Marina Bay Link Mall,Marina Bay Link Mall Singapore,103.8543588,1.2795191
29,Marina One,Marina One Singapore,103.8531473,1.2776331
30,Marina Square,Marina Square Singapore,103.8577068,1.2913027
31,Millenia Walk,Millenia Walk Singapore,103.8597114,1.2928582
32,Mustafa Shopping Centre,Mustafa Shopping Centre Singapore,103.8554123,1.3098352
33,Ngee Ann City,Ngee Ann City Singapore,103.834568,1.3025572
34,Orchard Central,Orchard Central Singapore,103.8396804,1.3008434
35,Orchard Gateway,Orchard Gateway Singapore,103.8388955,1.300979
36,Orchard Plaza,Orchard Plaza Singapore,103.8380766,1.301674
37,Orchard Midpoint,Orchard Midpoint Singapore,103.8386541,1.3017325
38,Orchard Shopping Centre,Orchard Shopping Centre Singapore,103.837772,1.301604
39,Palais Renaissance,Palais Renaissance Singapore,103.8295058,1.3066492
40,Paragon Shopping Centre,Paragon Shopping Centre Singapore,103.8357982,1.3038699
41,People's Park Centre,People's Park Centre Singapore,103.843985,1.285902
42,People's Park Complex,People's Park Complex Singapore,103.8425488,1.2841977
43,Plaza Singapura,Plaza Singapura Singapore,103.8448034,1.3008369
44,PoMo,PoMo Singapore,103.84922,1.3001917
45,Raffles City,Raffles City Singapore,103.8539259,1.2940612
46,Scotts Square,Scotts Square Singapore,103.8329554,1.3058803
47,Serangoon Plaza,Serangoon Plaza Singapore,103.8552309,1.3108938
48,Shaw House and Centre,Shaw House and Centre Singapore,103.8314774,1.3056995
49,Sim Lim Square,Sim Lim Square Singapore,103.8529208,1.3030433
50,Singapore Shopping Centre,Singapore Shopping Centre Singapore,103.8441599,1.2980956
51,The South Beach,The South Beach Singapore,103.8557929,1.2944688
52,Square 2,Square 2 Singapore,103.8441755,1.3207812
53,Suntec City,Suntec City Singapore,103.8578404,1.294113
54,Tanglin Mall,Tanglin Mall Singapore,103.8238701,1.3050606
55,Tangs,Tangs Singapore,103.8329589,1.304793
56,Tanjong Pagar Centre,Tanjong Pagar Centre Singapore,103.8458774,1.2770321
57,Tekka Centre,Tekka Centre Singapore,103.850654,1.306251
58,The Poiz,The Poiz Singapore,103.8678,1.331
59,Thomson Plaza,Thomson Plaza Singapore,103.8308644,1.3548791
60,"United Square, The Kids Learning Mall","United Square, The Kids Learning Mall Singapore",103.8435789,1.3171455
61,Velocity,Velocity Singapore,103.8439456,1.3199153
62,Wheelock Place,Wheelock Place Singapore,103.8303752,1.3047321
63,Wisma Atria,Wisma Atria Singapore,103.8330558,1.3038568
64,Zhongshan Mall,Zhongshan Mall Singapore,103.8464843,1.327052
65,White Sands,White Sands Singapore,103.9496147,1.3724754
66,Downtown East,Downtown East Singapore,103.9546963,1.3776353
67,Century Square,Century Square Singapore,103.9438202,1.3524291
68,Tampines 1,Tampines 1 Singapore,103.9450353,1.3542124
69,Tampines Mall,Tampines Mall Singapore,103.944707,1.3524854
70,Our Tampines Hub,Our Tampines Hub Singapore,103.9403974,1.3529944
71,Changi Airport,Changi Airport Singapore,103.9915308,1.3644202
72,Changi City Point,Changi City Point Singapore,103.96262,1.3342013
73,Djitsun Mall Bedok,Djitsun Mall Bedok Singapore,103.9295912,1.3262229
74,Eastpoint Mall,Eastpoint Mall Singapore,103.9530415,1.3427145
75,Bedok Mall,Bedok Mall Singapore,103.9293808,1.3247613
76,Bedok Point,Bedok Point Singapore,103.9323644,1.3249063
77,Paya Lebar Square,Paya Lebar Square Singapore,103.8907773,1.3243504
78,Singapore Post Centre,Singapore Post Centre Singapore,103.894663,1.318853
79,One KM,One KM Singapore,103.8946132,1.31485
80,112 Katong,112 Katong Singapore,103.9049799,1.3052181
81,Parkway Parade,Parkway Parade Singapore,103.9052333,1.3013366
82,City Plaza,City Plaza Singapore,103.893404,1.314816
83,Katong Square,Katong Square Singapore,103.9043714,1.3051314
84,Katong V,Katong V Singapore,103.9029678,1.3036204
85,Kallang Wave Mall,Kallang Wave Mall Singapore,103.8728744,1.3032422
86,Leisure Park Kallang,Leisure Park Kallang Singapore,103.8764704,1.3022564
87,East Village,East Village Singapore,103.9463496,1.3318464
88,Elias Mall,Elias Mall Singapore,103.9418941,1.3783445
89,Loyang Point,Loyang Point Singapore,103.9645099,1.3669051
90,The Flow,The Flow Singapore,103.904021,1.305003
91,888 Plaza,888 Plaza Singapore,103.7956985,1.4376934
92,Admiralty Place,Admiralty Place Singapore,103.801399,1.4403095
93,AMK Hub,AMK Hub Singapore,103.8483509,1.3693085
94,Causeway Point,Causeway Point Singapore,103.7860127,1.4359844
95,Broadway Plaza,Broadway Plaza Singapore,103.8459995,1.3719492
96,Djitsun Mall,Djitsun Mall Singapore,103.8476889,1.3728179
97,Jubilee Square,Jubilee Square Singapore,103.8478431,1.3718089
98,Junction 9,Junction 9 Singapore,103.8416818,1.4330496
99,Marsiling Mall,Marsiling Mall Singapore,103.7798565,1.4334459
100,Northpoint City,Northpoint City Singapore,103.8361078,1.428389
101,Sembawang Shopping Centre,Sembawang Shopping Centre Singapore,103.8250916,1.4419016
102,Sun Plaza,Sun Plaza Singapore,103.8195961,1.4481739
103,Wisteria Mall,Wisteria Mall Singapore,103.8416043,1.4184422
104,Woodlands Mart,Woodlands Mart Singapore,103.7981642,1.4455199
105,Waterway Point,Waterway Point Singapore,103.9021813,1.4066226
106,Compass One,Compass One Singapore,103.8954118,1.3924343
107,Hougang Mall,Hougang Mall Singapore,103.8938091,1.3726364
108,Heartland Mall,Heartland Mall Singapore,103.8852768,1.3595839
109,NEX,NEX Singapore,103.8726158,1.3503968
110,Greenwich V,Greenwich V Singapore,103.8696856,1.3872553
111,Hougang 1,Hougang 1 Singapore,103.8794088,1.3758282
112,Hougang Green Shopping Mall,Hougang Green Shopping Mall Singapore,103.8878925,1.3792668
113,myVillage @ Serangoon,myVillage @ Serangoon Singapore,103.8652299,1.3651442
