,block,street_name_original,address_original,street_name,full_address,processed_address,longitude,latitude,nearst_mrt,distance_nearst_mrt,nearst_mall,distance_nearst_mall,dist_to_CBD
0,309,ANG MO KIO AVE 1,309 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,309 ANG MO KIO AVE 1   Singapore,309 ANG MO KIO AVE 1  ,103.8441101,1.3643288,Ang Mo Kio mrt station,0.81965258,AMK Hub,0.725210529,8.488316228782299
1,216,ANG MO KIO AVE 1,216 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,216 ANG MO KIO AVE 1   Singapore,216 ANG MO KIO AVE 1  ,103.8414166,1.3662078000000002,Mayflower mrt station,0.793016817,Broadway Plaza,0.8143478740000001,8.729598021804879
2,211,ANG MO KIO AVE 3,211 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,211 ANG MO KIO AVE 3   Singapore,211 ANG MO KIO AVE 3  ,103.84159770000001,1.3692103999999998,Mayflower mrt station,0.612691309,Broadway Plaza,0.575919425,9.056258791161133
3,202,ANG MO KIO AVE 3,202 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,202 ANG MO KIO AVE 3   Singapore,202 ANG MO KIO AVE 3  ,103.84458690000001,1.3684602,Ang Mo Kio mrt station,0.552262732,Broadway Plaza,0.416595654,8.938034080106359
4,235,ANG MO KIO AVE 3,235 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,235 ANG MO KIO AVE 3   Singapore,235 ANG MO KIO AVE 3  ,103.8362083,1.3669343,Mayflower mrt station,0.502376983,Broadway Plaza,1.222626202,8.903711885639042
5,232,ANG MO KIO AVE 3,232 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,232 ANG MO KIO AVE 3   Singapore,232 ANG MO KIO AVE 3  ,103.8372499,1.3682103,Mayflower mrt station,0.36761061,Broadway Plaza,1.057857461,9.020642645133696
6,308,ANG MO KIO AVE 1,308 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,308 ANG MO KIO AVE 1   Singapore,308 ANG MO KIO AVE 1  ,103.84433929999999,1.3643085,Ang Mo Kio mrt station,0.802914605,AMK Hub,0.7106206159999999,8.483553858147298
7,220,ANG MO KIO AVE 1,220 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,220 ANG MO KIO AVE 1   Singapore,220 ANG MO KIO AVE 1  ,103.84042020000001,1.3656276000000003,Mayflower mrt station,0.7747119440000001,Broadway Plaza,0.934956254,8.681468835668344
8,219,ANG MO KIO AVE 1,219 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,219 ANG MO KIO AVE 1   Singapore,219 ANG MO KIO AVE 1  ,103.8405108,1.3659933000000002,Mayflower mrt station,0.747244916,Broadway Plaza,0.898235498,8.720020310303743
9,247,ANG MO KIO AVE 3,247 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,247 ANG MO KIO AVE 3   Singapore,247 ANG MO KIO AVE 3  ,103.8341552,1.3679763999999999,Mayflower mrt station,0.469828019,Broadway Plaza,1.389401484,9.063464664385904
10,320,ANG MO KIO AVE 1,320 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,320 ANG MO KIO AVE 1   Singapore,320 ANG MO KIO AVE 1  ,103.8483915,1.3655808,Ang Mo Kio mrt station,0.441626439,AMK Hub,0.41221484799999997,8.591983209208621
11,252,ANG MO KIO AVE 4,252 ANG MO KIO AVE 4,ANG MO KIO AVE 4    ,252 ANG MO KIO AVE 4   Singapore,252 ANG MO KIO AVE 4  ,103.8342609,1.3688871999999999,Mayflower mrt station,0.38346305399999997,Broadway Plaza,1.349526887,9.159302575427946
12,223,ANG MO KIO AVE 1,223 ANG MO KIO AVE 1,ANG MO KIO AVE 1    ,223 ANG MO KIO AVE 1   Singapore,223 ANG MO KIO AVE 1  ,103.8380651,1.3660808999999998,Mayflower mrt station,0.618033013,Broadway Plaza,1.095786561,8.772859141985405
13,230,ANG MO KIO AVE 3,230 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,230 ANG MO KIO AVE 3   Singapore,230 ANG MO KIO AVE 3  ,103.837884,1.3688658999999999,Mayflower mrt station,0.322391757,Broadway Plaza,0.965364723,9.07968097363273
14,329,ANG MO KIO AVE 3,329 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,329 ANG MO KIO AVE 3   Singapore,329 ANG MO KIO AVE 3  ,103.8468515,1.3666154,Ang Mo Kio mrt station,0.425114476,AMK Hub,0.34135385100000004,8.715389312656509
15,313,ANG MO KIO AVE 3,313 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,313 ANG MO KIO AVE 3   Singapore,313 ANG MO KIO AVE 3  ,103.85011259999999,1.3666695,Ang Mo Kio mrt station,0.313732063,AMK Hub,0.351552838,8.706054222813224
16,117,ANG MO KIO AVE 4,117 ANG MO KIO AVE 4,ANG MO KIO AVE 4    ,117 ANG MO KIO AVE 4   Singapore,117 ANG MO KIO AVE 4  ,103.8358007,1.3736407,Mayflower mrt station,0.255464246,Broadway Plaza,1.15030931,9.640430542573766
17,110,ANG MO KIO AVE 4,110 ANG MO KIO AVE 4,ANG MO KIO AVE 4    ,110 ANG MO KIO AVE 4   Singapore,110 ANG MO KIO AVE 4  ,103.8373405,1.3705542,Mayflower mrt station,0.13227682400000002,Broadway Plaza,0.975908903,9.273981936949394
18,343,ANG MO KIO AVE 3,343 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,343 ANG MO KIO AVE 3   Singapore,343 ANG MO KIO AVE 3  ,103.8491162,1.3683603000000002,Ang Mo Kio mrt station,0.12400082,AMK Hub,0.135080053,8.895982752364265
19,345,ANG MO KIO AVE 3,345 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,345 ANG MO KIO AVE 3   Singapore,345 ANG MO KIO AVE 3  ,103.8497376,1.3675153999999998,Ang Mo Kio mrt station,0.213868892,AMK Hub,0.251251518,8.800549510311729
20,346,ANG MO KIO AVE 3,346 ANG MO KIO AVE 3,ANG MO KIO AVE 3    ,346 ANG MO KIO AVE 3   Singapore,346 ANG MO KIO AVE 3  ,103.8497283,1.3671343,Ang Mo Kio mrt station,0.255501358,AMK Hub,0.285123022,8.75845056778631
